0,1
金銘潮州粉麵 (竹園街市),竹園道15號竹園廣場地下竹園街市58號舖
美心MX (竹園廣場),竹園道15號竹園廣場2樓S216號舖
香港達人 (黃大仙中心南館),正德街103號黃大仙中心南館L1樓122B號舖
大勝燒鵝,鳳德道29號地舖
岱民（彩雲）潮州打冷,清水灣道45號彩雲(一)邨商業大樓二座1-4號熟食檔位
賞茶 (黃大仙中心北館),龍翔道136號黃大仙中心北館地下G04C號舖
梅園餐室,鳳凰新邨銀鳳街24號舖
東旭亭,銀鳳街7A號地舖
一芳台灣水果茶,龍翔道136號黃大仙中心北館地下G05A及G05B號舖
板煮工房,竹園道15號竹園廣場地下竹園市場W-CY90A號舖
孖仔冰室,雙鳳街52號地舖
英王麵包店,正德街103號黃大仙中心南館地下G3A號舖
大快活,龍翔道136號黃大仙中心北館2樓N225號舖
大家樂,正德街103號黃大仙中心南館UG樓UG5-UG9號舖
天天美食,竹園道15號竹園街市地下95號舖
唐包點,港鐵黃大仙站WTS 11號舖
鳳凰燒臘飯店,銀鳳街26號新邨地舖
竹地市場,竹園道15號竹園廣場地下竹園市場W-CY104號舖
吉野家,正德街103號黃大仙中心南館UG樓9-10號舖
奇華餅家,龍翔道136號黃大仙中心北館2樓N223號舖
紅車厘麵包西餅,雙鳯街14號地舖
肯德基家鄉雞 (KFC),"正德街103號黃大仙中心南館地下G10E, G10F及G10G號舖"
龍翔道136號黃大仙中心北館地下G07A號舖,黃大仙 / 港式 / 唐餅 / $201-400
華御結,龍翔道136號黃大仙中心北館地下G04A號舖
來多客,環鳳街40-44號地下A-B號舖
東海堂,港鐵黃大仙站WTS 9號舖
源記齋,銀鳳街1號地下E號舖
竹料,竹園道15號竹園廣場地下竹園市場92號舖
富堡茶餐廳,銀鳳街3號地舖
竹園道15號竹園廣場地下S003號舖,黃大仙 / 港式 / 麵包店 / $50以下
太平洋咖啡,龍翔道136號黃大仙中心北館1樓N111-N112號舖
詠藜園四川菜館,鳴鳳街10-12號地舖
正德街大排檔1C,黃大仙 / 港式 / $50以下
天祥順德美食,彩虹道121號大成街街市大樓2樓
三井飽餅專門店,鳳凰新邨雙鳳街24號
喜味燒,金鳳街5號地舖
健康工房,港鐵黃大仙站WTS 7-8號舖
必勝客,正德街103號黃大仙中心南館地下G2及G2A號舖
爭鮮迴轉壽司,龍翔道120號新光中心2樓261號舖
榮記茶餐廳,正德街2號
富記美食堂,竹園道15號竹園廣場地下竹園市場W-CY99號舖
包點先生,彩虹道121號啓德花園地下18號舖
唐記包點,環鳳街20號地舖
牛朱啡,竹園道15號竹園廣場地下竹園市場90B號舖
友記小食店,鳳凰新邨環鳳街13-1號A
鳳園冰室,鳳凰村環鳳街54-66號寶發大廈地下B號舖
福崎餐廳,竹園道15號竹園廣場地下S012-013號舖
金星麵包店,彩虹道121號啟德花園商場二期地下2號舖
私家品味粵川居,鳳德道13號鳳凰新村地舖
海德餐廳,鳳凰新邨蒲崗村道71號
必食站,竹園道15號竹園廣場地下S016號舖
八方雲集鍋貼水餃專門店,竹園道15號竹園廣場1樓S122號舖
Thank You 冰室,鳳德道91-93號進安樓地下B號舖
厚興瑜記手撕雞 (竹園廣場),竹園道15號竹園廣場地下竹園街市87號舖
泉成茶餐廳,龍翔道120號新光中心二座地舖
